document_id,violence_label,framing_style,framing_tool_clean,true_label,pipe,model,content
18_9549,0.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"I'm sure this video has significant relevance but we do have to consider what whites have done in the past as well...
raping and urbanizing America for example.
Don't get me wrong, I'm no ska punk antifa douche, just saying you have to think fairly.
"
17_7999,0.0,Implicit,['coded language'],0.0,agents,gemma_12b,"Europe will not surive ""Multiculturalism""!
Watch and learn watch?v=icQBBmPho0U
"
15_6360,1.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"From your comment you made it obvious too me that im arguing with an neonazi idiot.
Then kill all Muslims if you think thats the answer ....
"
15_6784,1.0,Implicit,['sarcasm'],0.0,agents,gemma_12b,"""support human farming"" lol
Did you mean humane?
"
4_1647,0.0,Explicit,[],0.0,agents,gemma_12b,"@Commenter#5498 Ummm, yeah he said not to preach to the gentiles.
And yeah, everyone is equal, but that has NOTHING to do with this.
Jesus (Isa) was a man, not some deity in frame of reference for us to worship.
Flesh is created by God, God is not created.
Stop deluding yourself, this is the opposite of the old testament, which your religion claims to be apart of.
There is only One God, and no other deity, or anything else worth worship, and the prophet Jesus (Isa PBUH) is not God.
"
2_1105,0.0,Implicit,['sarcasm'],0.0,context,gemma_12b,"It is highly unlikely,indeed,improbable that those former communist Serbian nationalist
where acting in the name of Christ?
Don't you think.
What we do know is that muslims in the name of the pedophile, goatfucker Allah, fly planes into buildings and stone innocent women and gays.These we all know
Islam is shit!
"
5_2155,0.0,Implicit,['sarcasm'],0.0,context,gemma_12b,"I said what you can and can't do - and that's shit!
If you would really want to do something about it, you would instead of talking shit here on YouTube.
And thanks for ending your statement with a disgusting remark - and for a fact, I'm a female, so I can't jack off.
"
18_9603,1.0,Implicit,['coded language'],1.0,context,gemma_12b,"NO MERCY FOR THESE ATHEISTS PEDOPHILES PIGS !
EXTERMINATE THESE VERMINES AND THROW THEM INTO A VOLCANO !
WHAT A NICE IDEA!
"
11_5553,0.0,Explicit,[],0.0,context,gemma_12b,"No puede gobernar basándose exclusivamente en sus convicciones religiosas, aún si efectivamente fuera un musulmán.
No porque sea mejor que cualquier otro, si no porque no tiene forma legal de hacerlo, separación de la iglesia y el estado les suena a algo?
No puede hacer leyes basadas en leyes religiosas, es anti-constitucional.
Así que todo este asunto de si el tipo es musulmán o no, es una estupidez.
"
17_7918,1.0,Implicit,['coded language'],1.0,context,gemma_12b,"Europe needs to start deporting non-Europeans, why are only white countries supposed to be multicultural, this is the plan of the Zionists to get rid of all gentiles﻿
"
15_6214,1.0,Implicit,['sarcasm'],0.0,neighbors,gemma_12b,"If muslims have to get out then jews have too get out too :)
"
18_9128,1.0,Implicit,['sarcasm'],1.0,neighbors,gemma_12b,"i MEANT 40!
bUT THE ZERO WOULDNT TYPE IN!
i KILL yOU NO MERCY!
"
11_4743,0.0,Explicit,[],0.0,neighbors,gemma_12b,"muslim traditional dress hhhhhhhh never heard of that !
by the way that was an african dress .﻿
"
19_9755,0.0,Implicit,['sarcasm'],0.0,neighbors,gemma_12b,"I PREFER TO DIE THEN BECOMING A MUSLIM
"
18_8483,0.0,Implicit,['sarcasm'],0.0,neighbors,gemma_12b,"For a 19 y/o swede, I can honestly say that I am fucking scared.
In Sweden they are building mosques all over, every city, etc..
I want to live a long and healthy life, I don't want any muslims or islamic people where I live.
They are destryoing our country from within, and our corrupt and weak government are so afraid..
Our government acecpt refugees in numbers of thousands and thousands every year.
Sweden is about to collapse.
And yet, people still support immigration.
They have no idea....
"
18_9728,0.0,Implicit,['coded language'],0.0,agents,gemma_27b,"the fucking zionist troll account is back.
"
4_2069,0.0,Implicit,"['irony', 'sarcasm', 'loaded language']",0.0,agents,gemma_27b,"Israel didn't come and just took a side to live peacefully!
They came in armed and killed many people excusing that this land is thiers, they admitted it!
So give me a break, don't call the extra taxes oppression, what do you call women forbidden to wear viel?
What do you call killing the muslim woman in a german court in and no official even blinks?
Not oppression of course, it's free expression!
Seems that your arranged groom was too ugly!
And BTW, its a social tradition, not Isalm!
"
1_375,1.0,Implicit,"['coded language', 'dehumanization']",1.0,agents,gemma_27b,"arabs and iranians are the same shit ,different smell nuke iran too
"
19_9838,0.0,Implicit,['coded language'],1.0,agents,gemma_27b,"In poland and ukraine they kill muslims :)﻿
"
11_4744,0.0,Implicit,"['sarcasm', 'irony']",0.0,agents,gemma_27b,"you people who believe he is muslim because of this dumbass montage are dicks!
No shit he is gonna quote stuff from koran, he is addressing muslims!
No other leader has done that have they?
Why did he pray at the wailing wall?
If anything, he is a jew!
"
8_4130,0.0,Implicit,['coded language'],0.0,context,gemma_27b,"islam is evil
mohammed was a pedophile
why will no-one tell me what thieghing is?
"
4_2071,0.0,Implicit,"['coded language', 'threat']",0.0,context,gemma_27b,"islam future of europ we will see if u can open ur mouth since then
"
1_376,0.0,Implicit,['coded language'],0.0,context,gemma_27b,"In the United States and United Kingdom Laws are based on Common Law which is in turn base on the infallible Natural Law give to Man by God.
The downfall of new agers who wish to remove God from all Governance and State is simple, remove God and you remove your rights.
There is not longer a divine force that gives you the right to freedom, so you will end up with a State that dictates your rights.
For example this is why all Communist States are Atheist.
We all know how Communism worked out.
"
19_9837,1.0,Implicit,['coded language'],1.0,context,gemma_27b,"kill them all ﻿
"
9_4243,0.0,Implicit,['coded language'],0.0,context,gemma_27b,"I pity all you faggots in the video.
Sucks to be you schmutzigen schweine!
"
2_1114,0.0,Implicit,['generalization'],0.0,neighbors,gemma_27b,"dont delude yourself
when muslims copy what the dirty prick mohammed did as in....MURDERING, raping, stealing, lying, they do indeed represent islam
when males beat wives...islamd sanctions this
when ADULT women forbiddent to leave the home...islam sanctions this too
when women have the degradation of enforced inequality inflicted on them...this is VERY REPRESENTATIVE of islam, and its what it dictates
"
11_5199,0.0,Implicit,['coded language'],0.0,neighbors,gemma_27b,"Muhammad was a terrorist and Allah is Satan.
Islamic Jihadists are dumb ignorant shits who believe Allah the Satan's lies that if they rebel against man's authority and kill in his name he'll give them something.
What they get is a spot six feet under as a pile of useless rotting waste.
"
3_1257,0.0,Implicit,['irony'],0.0,neighbors,gemma_27b,"It's an Atheist convention and all they do is talk about religion!
"
4_1816,0.0,Implicit,['coded language'],0.0,neighbors,gemma_27b,"I show you the Hadith which you don't know, to prove the real truth of Islam and Muhammad.
Muhammad is bewitch.
Sahih Bukhari 004.053.400 --
Once the Prophet was bewitched so that he began to imagine that he haddone a thing which in fact he had not done.
that the Prophet married her when she was six years old and he consummated his marriage when she was nine years old, and then she remained with him for nine years
"
7_2517,0.0,Implicit,['metaphor'],0.0,neighbors,gemma_27b,"Everyone knows that the British are dogs of American because they can not fights America, Russia or China Because they know they will lose ✔
"
4_1355,1.0,Implicit,['biblical metaphor'],0.0,agents,mistral," God allows the pregnant women of Tappuah to be ripped open.
At that time Menahem, starting out from Tirzah, attacked Tiphsah and everyone in the city and its vicinity, because they refused to open their gates.
He sacked Tiphsah and ripped open all the pregnant women.
(2 Kings 15:16)
"
19_9745,1.0,Implicit,"['aggression', 'sarcasm']",1.0,agents,mistral,"You people are sick.
There is no peace because of you.
Go fuck yourself and then kill yourself please
"
16_7411,0.0,Implicit,['irony'],0.0,agents,mistral,"MUSLIM TURKEY is illegally occupying CHRISTIAN European land: Northern Cyprus, was ethnically cleansed off CHRISTIAN Europeans.
MUSLIM TURKEY moved 150.000 kolonists to the occupied part and has built an illegal separation wall on the island.
Considering the fact that all MUSLIM TURKS in Europe also hold Turkish nationality, a rightwing boycot off MUSLIM TURKEY would mean that all MUSLIM TURKS in Europe would be boycotted.
"
11_5533,0.0,Implicit,['irony'],0.0,agents,mistral,"IF HE IS MUSLIM...Why does he drink alcohol, eat pork, marry a Christian, and go to church on Sundays?
"
18_9398,0.0,Implicit,"['insult', 'racism']",0.0,agents,mistral,"You think that English is the only language spoken in the world poor retarded prick !
Fuck OFF with your Germanic shit you are not worth a piss
"
18_9319,0.0,Explicit,[],0.0,context,mistral,"what film is this?
"
16_7565,0.0,Implicit,['sarcasm'],0.0,context,mistral,"You’re whining about people whining, dumbo.﻿
"
16_7430,0.0,Implicit,['sarcasm'],0.0,context,mistral,"Look who's demonizing an entire people and group, you.
I was just calling this woman out and her liberal ilk, who travel half way across the world into other countries and organize to facilitate the influx of thousands of foreigners into their land, ruining it.
I won't ever go to Israel to visit, if it's filled with you chosen turds.
"
18_8766,0.0,Implicit,['sarcasm'],0.0,context,mistral,"actually i think that europe is going down and fast i see it happen in my own city, as a white woman i'm scared for the future, so scared that i don't think i'm going to have any childeren
"
15_6769,0.0,Implicit,['sarcasm'],0.0,context,mistral,"That's not my logic you dumb fuck.
I never once mentioned semites.
You started babbling on about them.
I have only talked about the fact Muslims have killed over 200,000,000 non-Muslims, so how on earth could Islam ever be a ""religion of peace""?
Jews are semitic.
And you are DUMB.
"
11_5282,0.0,Implicit,['irony'],0.0,neighbors,mistral,"Its true though that iraq and the muslim faith did do a lot for our civilization, check your history books, had one the of the biggest empires and many scientific things came during their empire.
but overall, fuck religion.
They did a lot for us because of their past scientific discoveries, not allah or the Qur'an..
people need to quit bitching and start learning
"
9_4343,0.0,Implicit,['irony'],0.0,neighbors,mistral,"you imbecile have the sword of pisslam at your throat yet u keep spewing politically correct crap.
Muslims torch cars, threaten with bombing your monuments, openly claim that they'll conquer France, sell hip hop music claiming that they rape France, surround your cities with their ghettoes, use your streets for their prayers, stone Christian processions, vandalize churches and cemetaries, are now 10% of your population, yet it's zionism you should fear more.
What a deluded piece of crap you are
"
1_40,1.0,Implicit,['sarcasm'],1.0,neighbors,mistral,"Call for action?
Ok, go overseas to attack Islamic countries.
Make their standard of living even worse and then get another massive wave of refugees and immigrants to Western countries.
"
8_2847,0.0,Implicit,['irony'],0.0,neighbors,mistral,"today EUROPEN UNION just try to coppy of OTTOMAN UNION.
DİFFERENCE İS JUST
IN OTTOMAN UNİON = CHRİSTİANS + MUSLİMS + JEWİSH ((TOGETHER))
IN EUROPEN UNION = CHRİSTİANS +CHRİSTİANS+ CHRİSTİANS ((TOGETHER))
WHAT İS THİS VİDEO , WHERE İS PEACE OF CHRİSTİANS.
"
4_1897,0.0,Implicit,['sarcasm'],0.0,neighbors,mistral,"Wow, he can quote, that must be quite an accomplishment for one so far to the dim side of the bell curve.
"
8_3771,0.0,Implicit,['metaphor'],0.0,agents,nemo,"In the Europe it will be fast the Islamic union with capital in London.
"
16_7240,0.0,Implicit,['sarcasm'],0.0,agents,nemo,"fuck racism fuck this stupid bitch fuck the torah jews are not superior fuck the bible fuck the quran fuck muhamed fuck slavery fuck isreal
"
7_2512,0.0,Implicit,['sarcasm'],0.0,agents,nemo,"100% true thank you
"
11_4734,0.0,Implicit,['sarcasm'],0.0,agents,nemo,"Comic books tell me people can get super powers from falling into nuclear waste.
it doesn't necessarily mean i should actually believe the writings and attempt to gain powers, its just a funny way to pass time on a boring rainy day.
a book to read on a boring rainy day when your looking for a laugh.
"
14_6101,1.0,Implicit,['sarcasm'],1.0,agents,nemo,"huh i dont think have seen a person so stupid like you im trying to explane to you but you wont lisent look at my name and btw i hate anti white people and i hate jews they can all die i dont care about those fuck tarts oh boy how can you be so stupid
"
15_6912,0.0,Implicit,['sarcasm'],0.0,context,nemo,"The animal-killing part is wrong, pat.
The process doesn't make the animals suffer.
At least in the jewish way.
"
11_4759,0.0,Implicit,['sarcasm'],0.0,context,nemo,"Because he is the president of the United States.
He isn't the leader of Iran, Egypt, Pakistan, or Turkey.
Why do you think Middle Eastern countries hate us so much?
We keep sticking our policies in their faces.
"
4_1424,0.0,Implicit,['sarcasm'],0.0,context,nemo,"I want to hear all these Good Muslims you talk about form big groups and then come out & condemn Hamas, Hezbollah, and Al-Quaida.
Only Muslim Phalesteens (Philistines in our Bible) were the ones blowing up planes starting in the 1970s, not Christians, Hindus, or Atheists, or other religions, just Muslim Palestinians.
Stupid Muslim Palestinians.
The fact remains that all these cry-baby Muslim groups refuse to distinguish themselves and CONDEMN the Muslim Fanatics.
We know why, Ur COWARDS.
"
18_8370,0.0,Implicit,['coded language'],0.0,context,nemo,"Middle Eastern have empires first before White people have idoits, look at Egypt piramid.......Egypt is either arabs or africans empire first before whites, African and Arabs are the first few people who founded the technics of ""FARMING"" for food, then european steal the technics and destroy our empire!
Fuck ya all CRACKAS!
"
4_1824,0.0,Implicit,"['sarcasm', 'irony']",0.0,context,nemo,"Clown, you are doing everything bot to answer my questions, which proves that Christianity is not the relugion of God.
Hahahahahaha thank you very much!
As for the sura 22:58 it means that if a muslim is killed in by non-muslim in a war or civil time then the muslim goes to paradise.
You are stupid dumb hypocrite who lies in order to make things to siut his agenda.
Did Jesus teach you that?
Instead of reading Quran read ur own Bible and try to answer questions regarding it.
"
15_6477,0.0,Implicit,['sarcasm'],0.0,neighbors,nemo,"TASTE OF MULTICULTURALISM...
CBS REPORTER LARA LOGAN GANG RAPED AND BEATEN IN CAIRO BTY AN ISLAMIC MOB...
"
4_1542,0.0,Implicit,['sarcasm'],0.0,neighbors,nemo,"where is it mentioned in the Quran that nunmuslims should pay more tax than others?
i need reference from The Quran or Sunah of Prophet Muhammad PBUH.
"
11_5293,0.0,Implicit,['irony'],0.0,neighbors,nemo,"Mohammed was merely a prophet and, as you say, did not slaughter millions of people.
The following ""chiefs"" (I can't recall the exact term) of Islam then went on a large crusade throughout the Middle East.
This, today, is not a justified or ""right"" act, but the same can be said for the Christian Crusaders, all of which who killed the ""infidels"" of their respective religions.
All of this was appropriate for the time, and I hope that the future will not be as barbaric or illogical.
"
11_5485,0.0,Implicit,['sarcasm'],0.0,neighbors,nemo,"You know what really bothers me about Islam?
They need to stop spreading it everywhere in the world.
They're not wanted here.
You can defend them all you want, but I understand clear as day that it says to deny Islam is worse than murder, and the punishment for murder is death, so denying Islam is punishable by death.
They usually say that killing one person is like killing all of mankind, but that is in reference to other Muslims, not non-believers.You thought I was some pushover, right?
"
18_9211,1.0,Implicit,['sarcasm'],0.0,neighbors,nemo,"non- white is lesser blood.﻿
"
7_2596,0.0,Explicit,[],0.0,agents,qwen_14b,"Jesus, people, hate has made you all ignorant assholes.
Most of you aren't even making any sense!
You just talk ill of things that you don't even know the truth about.
"
18_9681,0.0,Explicit,[],0.0,agents,qwen_14b,"lmao the zionist troll is back
3 minut and he already woted +7 on his comment.
get a life troll zionist ass licker
"
15_6213,1.0,Explicit,[],1.0,agents,qwen_14b,"Do us a favour son, put a gun in your mouth and pull the trigger.
"
18_9346,0.0,Explicit,[],0.0,agents,qwen_14b,"that what is happening in israel since the 1948...
62 years israel was under the terror threat....
and with the help of god, and the force of israel, they survived....
dont let EU to fall into this hell of terror!
"
11_5092,1.0,Explicit,[],0.0,agents,qwen_14b,"We are here to help people and lead Muslims away from their horrible ideology and into a bright caring loving peaceful path.
A woman said she shoved a man to his death off a subway platform into the path of a train because she has hated Muslims since Sept.
Erika Menendez, 31, was charged in the death of Sunando Sen.
""I pushed a Muslim off the train tracks because I hate Hindus and Muslims ever since 2001 when they put down the twin towers I've been beating them up,"" Menendez said.
"
18_9264,0.0,Explicit,[],0.0,context,qwen_14b,"but cant help thinking this really could happen!
living in northern England, over the last 20 years i have seen my city transformed by mass immigration beyond all recongition, mosques and islamic schools, arabic writing on signs and now our indigenous traditions disregarded as racist such as christmas ect ect.
makes me feel sad for the future of our children, and once great european countries!!!
"
11_5174,0.0,Explicit,[],0.0,context,qwen_14b,"And here we're again, skipping history olympically.
The French Revolution happened in France (to give an example), not in the Middle East, therefore, separation of religion and politics is quite unlikely to be a common concept in Middle Eastern countries.
Therefore, it is quite logic that religion becomes a basis for rebellion in times of political crisis there.
This doesn't mean neither the palestinians neither muslims as a whole don't want to live in peace, it only means they're under attack.
"
2_1176,0.0,Explicit,[],0.0,context,qwen_14b,"He isn't on trial for racism but for hate speech and discrimination.
And Wilders said stuff like he wants to discriminate; That race riots, even though he doesn't want them, aren't necessarily a bad thing; That the absence of non-westerners are his personal utopia.
His party also opted that non-westerners shouldn't be able to enroll into amateur soccer clubs; Ethnical registration for juridical purposes, to estimate the chance that someone's likely to engage in criminal acts.
"
4_1396,0.0,Implicit,"['sarcasm', 'irony', 'coded language']",0.0,context,qwen_14b,"i wonder how much u paid this women
to talk about islam
leave muslim alone
why u hate us
r u afrid your ppl convert to islam coz is the best religion
"
18_8993,1.0,Implicit,['coded language'],0.0,context,qwen_14b,"get your russian ass here and you will see what a US muslim can do to you athiest ass...i slapped your mom when she gave birth to you i guess that bitch wants it again..you motherfucking son of a slave..yeah thats right you mom was my sex slave..oh yeah we had fun...say hi for me i bet that bitch misses my dick in her tight ass pussy...and ya guess what i me and my Jewish and Christian friends fucked...damn boy she can eat cum..and as for u..take you dick and fuck yourself in the ass
"
18_9184,0.0,Implicit,"['sarcasm', 'irony', 'coded language']",0.0,neighbors,qwen_14b,"You are either a retard or a Jew, Jews are behind the influx of all non whites into the west --they created dieversity for white countries exclusively as a biological tool to destroy Europeans.
"
11_5194,0.0,Implicit,"['sarcasm', 'irony', 'coded language']",0.0,neighbors,qwen_14b,"You're under a misapprehension.
People don't chose to be gay.
Could you, right now, just chose to be gay for a day?
That's not how you feel.
It's not your nature.
Gay people are the same way.
It is their nature.
You're asserting that god specifically creates people that he KNOWS will break his rules, and that he will hate.
Also, claims of a jewish man being ""immaculately concepted"", sacrificed, and risen from the dead do not prove divinity.
And they are bull shit and immoral anyway.
"
16_7130,0.0,Implicit,['coded language'],0.0,neighbors,qwen_14b,"Interesting point of view that I will have to investigate.
After learning of the Muslim population explosion I then realized when Quaddafi said Muslims don't need to use weapons, nukes, etc because our population will dominate everybody else"" Will the demographics agree with his statement.
People should really investigate the Muslim explosion because if it continues this planet will be entirely Muslim.
"
18_8700,1.0,Implicit,['sarcasm'],1.0,neighbors,qwen_14b,"hhah the WHITE Children will get beat up hahahahh
"
8_3269,1.0,Implicit,"['metaphor', 'coded language']",0.0,neighbors,qwen_14b,"We've been quiet for too long, it is time we brushed aside those left wing PC do-gooders and reclaimed Europe whatever the cost, however we do it just as long as they're gone.
Rise up Europe, bring back your Viking and Crusader spirit, rise up against this virus and vaccinate our children from it.
Hitler was wrong in killing Jews, as Churruminonian puts it ""A new ethic cleansing is necessary"" This is what we need EUROPE FOR THE EUROPEANS, NO ISLAM NO KORAN.
"
5_2300,0.0,Explicit,[],0.0,agents,qwen_8b,"You are right on making this comparison ""homeslessbum"".
however, in the US women beaten by men, have the right to denounce this behavior & seek legal protection.
In turn the man is, under just circumstances, punished for his actions.
Women have the right & option to choose for themselves as individuals: submission or independence.
In Islam, isn't this a choice women do NOT have according to the Quran?
Please correct me if i am wrong as i am open to your views, beliefs and opinion.
"
16_7374,0.0,Implicit,['sarcasm'],0.0,agents,qwen_8b,"""no one is complaining, here in the uk""
- That's Because Anyone Who Does Is Arrested (Emma West).
England Is Quite Literally A Nation That Has Been Beaten Into Submission By Political Correctness.
Walk Up To Any Englishman, Call Him A ""Nazi"" Or A ""Racist"", And He Will Drop Down To His Knees, Take Out His Wallet, And Empty It.
Judging From Your Comments You Fit That Description Perfectly.
"
2_558,1.0,Explicit,[],0.0,agents,qwen_8b,"Murder, rape, and pillage at Jabesh-gilead (Judges 21:10-24 NLT) So they sent twelve thousand warriors to Jabesh-gilead with orders to kill everyone there, including women and children.
 ""This is what you are to do,"" they said.
""Completely destroy all the males and every woman who is not a virgin."" Among the residents of Jabesh-gilead they found four hundred young virgins who had never slept with a man, and they brought them to the camp at Shiloh in the land of Canaan.
"
17_8179,0.0,Implicit,['sarcasm'],0.0,agents,qwen_8b,"EU hypocrites,how they dare to speak (and teach) other Countries about Multiculturalism ...
"
8_3310,0.0,Explicit,[],0.0,agents,qwen_8b,"""marriage is more effective in providing for children"" no its not the way our tax system works makes people who are married poorer its wrong but that's the way it works and about you saying I hate marriage just so you know I like the idea I just dont like what people like you try to make it about that's not what it was about in the start it just goes to show that religion gets in your face when you let it thx god that we are slowly putting an end to that
"
11_4874,0.0,Implicit,['metaphor'],0.0,context,qwen_8b,"If you doubt who he is.............obama!!!
""the lordof the flies is on fire"" youtube
"
4_1516,0.0,Implicit,['sarcasm'],0.0,context,qwen_8b,"OOOOOHHHHHH for fucks sake when are you deluded cunts going to admit that there is a problem with violence in Islam instead of defending it all the time?!?!?!?!
You are beginning to sound like programmed drones.
Those figures I gave you are from the latest W.H.O figures and there is not another survey due until June 2013!!!
just fucking admit it, Islam is the most violent religious Ideology we have left in the world today there is but a handful of political analysts who would disagree!
"
11_5379,0.0,Implicit,['metaphor'],0.0,context,qwen_8b,"United States of America or we should better call it United states of Islam?
Well but i don't understand why they terrorists want to destroy it.
"
9_4487,0.0,Implicit,['coded language'],0.0,context,qwen_8b,"israel er noe dritt mot barn og ungdom som ikke er uskyldige?
"
11_5646,0.0,Implicit,['sarcasm'],0.0,neighbors,qwen_8b,"Muslims castrate girls & women right?
My question is why not the males also?
"
18_9261,0.0,Explicit,[],0.0,neighbors,qwen_8b,"hEY Whats Is the Penalty!!
for Leaving Islam under( Sharia Law )In Islamic Countries?
"
11_4849,0.0,Implicit,['sarcasm'],0.0,neighbors,qwen_8b,"This video was so stupid and borderline racist.
SMH at you faggots who are all like ""OMG HE'S MUSLIM!
WE'RE ALL FUCKED!"" after watching a video that was stitched together to create an imaginary point.
"
4_2025,0.0,Explicit,[],0.0,neighbors,qwen_8b,"She's a very good speaker, not too slow, not too fast.
She has a voice that you want to stop and listen to.
Why can't they have people like her at FOX?
When I tune into fox all I hear is constant argument, yelling and at other times it's whining.
Why not put people like her so when FOX spreads propaganda they can do it a little peacefully?
"
18_8917,0.0,Implicit,['sarcasm'],0.0,agents,small,"Are you fucking morons ?
Past is damn past.
I don't think a single living european took part in the slave-trade or in the colonial wars of the 19th century.
By the way, Arabs have enslaved more african people than the whole Europe, and your Ottomans beloved frequently raided, slaughtered and reduced Europeans in slavery; in some way they got what they sowed, following your own fucked up logic ?
Leave the past conflicts waged by dead people to the past, faggots !
"
9_4347,1.0,Explicit,[],1.0,agents,small,"Kill it with fire!
"
18_8539,0.0,Implicit,['coded language'],0.0,agents,small,"Blimey..there will be a bigger blood bath over there then.Makes you think that SHTF day will really happen.
"
4_1632,0.0,Implicit,['metaphor'],0.0,agents,small,"lack of faith isnt the same of belive that is no faith, what u say is wrong, in that way is the same to say that dont smoke is a habit.
I dont want to force u to dont belive in Gods , because all creatures around the world that didnt have culture, study and a high inteligence have the tendency to belive in something , it is about the wick nature to deal with reality and death.
And no God create rules in the world, WE CREATE.
Stop to be WICK!
"
2_1198,1.0,Implicit,"['coded language', 'irony']",1.0,context,small,"i am not chinese.
and everyone with a sane mind knows who did 9/11.
and you have no RIGHT to tell me to shut up.
but if you are one of those hateful muslims, you wont know the meaning of the word 'human right'.
so you should just kill yourself so that you can go to your imaginary heaven to have sex with virgins.
cos other normal people enjoy life on earth.
YEA MUSLIMS COMMITTED CRIME AGAINST HUMANITY : 9/11.
HAHHAHAHHAH STOP MEEEE!!!
the world is still free.
"
6_2369,0.0,Implicit,['sarcasm'],0.0,context,small,"Almash...."" Almash (6 days ago) Marked as spam
Islam has no honour killings there is killing of women in the west as well, so do not be hypocrites.
(Reply) (Spam)"" What is this then, chopped liver?
See not only are you a liar, you are bloody stupid too.
We can all make mistakes, now and again, posting to the wrong person, spelling mistakes here and there, but you are just idiotic, and this is a wonderful example of the type of corrosion taking place in your brain at the moment.
"
2_1185,0.0,Implicit,['coded language'],0.0,context,small,"if you say this in real life and not behind the computer you would be in prison.
its a death treatment.
in Holland be would get a 2 years jail.
"
8_4069,0.0,Implicit,['coded language'],0.0,context,small,"What western land have you invaded,the immigrants are fleeind failed Arab states..
Like I said if you can not handle tiny Israel ,the Europeans would mop the floor with you.....Just like our allies the Jews..
"
2_998,0.0,Implicit,['sarcasm'],0.0,neighbors,small,"In that case - between the two evils...
I'd rather elect the Fuhrer.
"
4_1534,0.0,Implicit,['sarcasm'],0.0,neighbors,small,"ur writing style shows that u r an illiterate, so u might feel like that abt god, caz u dont hav the ability to realise abt the existence of god.
i feel sorry for u & ur poor life.
"
19_9780,0.0,Explicit,[],0.0,neighbors,small,"0:33 WHAT IS THE SONG ﻿
"
2_703,0.0,Explicit,[],0.0,neighbors,small,"ik ben overgens zelf een kraker die het goed heeft geregeld en alleen zn energie en internet en belastingen betaal ik werk fulltime en hoef lekker geen huur te betalen omdat de eigenaar dat niet nodig vindt, overgens heb ik afspraken gemaakt met de burgermeester van mijn gemeente die ervoor zorgt dat wij dus kunnen blijven zitten waar we zitten, HET BEWIJS dat deze wet dus keihard onderuit is gehaald.
Ik zou me eerder Druk maken om de Slappe politiek die regels verzint in crisis tijd die mensen
"
